,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
2284,data/cut/R000183B9_C00034AD0_19.png,474,265.5,474,258,通行设施,990000,R000183B9,C00034AD0,东北4门,,219,10.5,R000183B9,C00034AD0,C00034AD0_219,R000183B9_10.5,219,3,R000183B9,C00034AD0,C00034AD0_219,R000183B9_3
2285,data/cut/R000183B9_C00034AD0_20.png,319.5,298,319,290,通行设施,990000,R000183B9,C00034AD0,北门,,64.5,43,R000183B9,C00034AD0,C00034AD0_64.5,R000183B9_43,64,35,R000183B9,C00034AD0,C00034AD0_64,R000183B9_35
2286,data/cut/R000183B9_C00034AD0_32.png,502.5,307.5,,,,,R000183B9,C00034AD0,6号楼,"[('C00034AD0_228', 'R000183B9_28'), ('C00034AD1_12', 'R000183B9_28'), ('C00034AD1_12', 'R000183B9_65'), ('C00034AD0_228', 'R000183B9_65')]",247.5,52.5,R000183B9,C00034AD0,C00034AD0_247.5,R000183B9_52.5,,,,,,
2287,,,,385,262,公交车站,150700,R000183B9,C00034AD0,,,,,,,,,130,7,R000183B9,C00034AD0,C00034AD0_130,R000183B9_7
2288,data/cut/R000183BE_C00034ADE_4.png,310,344.5,310,336,运动场馆,80100,R000183BE,C00034ADE,北大附中羽毛球馆,"[('C00034ADD_198', 'R000183BE_35'), ('C00034ADE_65', 'R000183BE_35'), ('C00034ADE_65', 'R000183BE_108'), ('C00034ADD_198', 'R000183BE_108')]",55,89.5,R000183BE,C00034ADE,C00034ADE_55,R000183BE_89.5,55,81,R000183BE,C00034ADE,C00034ADE_55,R000183BE_81
2289,data/cut/R000183BE_C00034ADE_13.png,346.5,387.5,,,,,R000183BE,C00034ADE,尚征道场,,91.5,132.5,R000183BE,C00034ADE,C00034ADE_91.5,R000183BE_132.5,,,,,,
2290,data/cut/R000183B7_C00034ACD_6.png,344,280,343,271,休闲场所,80500,R000183B7,C00034ACD,儿童乐园,,89,25,R000183B7,C00034ACD,C00034ACD_89,R000183B7_25,88,16,R000183B7,C00034ACD,C00034ACD_88,R000183B7_16
2291,data/cut/R000183B7_C00034ACD_7.png,475.5,304,476,296,风景名胜,110200,R000183B7,C00034ACD,双桥诗韵,,220.5,49,R000183B7,C00034ACD,C00034ACD_220.5,R000183B7_49,221,41,R000183B7,C00034ACD,C00034ACD_221,R000183B7_41
2292,data/cut/R000183BE_C00034ADD_18.png,330.5,286.5,,,,,R000183BE,C00034ADD,乙803号楼,"[('C00034ADD_54', 'R000183BE_20'), ('C00034ADD_161', 'R000183BE_20'), ('C00034ADD_161', 'R000183BE_47'), ('C00034ADD_54', 'R000183BE_47')]",75.5,31.5,R000183BE,C00034ADD,C00034ADD_75.5,R000183BE_31.5,,,,,,
2293,data/cut/R000183B9_C00034AD1_10.png,479,333,481,322,住宿服务,100000,R000183B9,C00034AD1,富驿时尚酒店,"[('C00034AD1_189', 'R000183B9_19'), ('C00034AD2_229', 'R000183B9_19'), ('C00034AD2_229', 'R000183B9_104'), ('C00034AD1_189', 'R000183B9_104')]",224,78,R000183B9,C00034AD1,C00034AD1_224,R000183B9_78,226,67,R000183B9,C00034AD1,C00034AD1_226,R000183B9_67
